Metric,Mean,Std,CI95_Low,CI95_High,Min,Max,N
ssim,0.5606006481465625,0.06608453281084811,0.5467616294625186,0.5744396668306064,0.39246554197660666,0.7163487512284559,91
psnr,12.08218867487683,1.5603272497590477,11.755434485292945,12.408942864460716,9.037761270045594,18.256594866838334,91
seg_dice,0.041770569904165084,0.09006726220296314,0.022909234710722044,0.06063190509760812,0.0,0.48254587715396646,91
seg_iou,0.02382835208695919,0.0544889355126343,0.012417612469696953,0.03523909170422143,0.0,0.3179970121593767,91
recon_dice,0.19004823302102858,0.22714345789424817,0.14220743217031886,0.2378890338717383,0.0,0.6543599820641997,90
recon_hausdorff,238.07678116545566,104.11093028486218,215.62443306280647,260.52912926810484,60.166435825965294,511.77045635714455,86
recon_chamfer,68.49805270306175,61.1756377813353,55.30504106528339,81.6910643408401,2.8635446888684206,343.849815566692,86
recon_error_px,75.31248839335322,57.00886293592599,63.01807480900226,87.60690197770418,11.864616576987208,343.083150487916,86
cup_radius_mm,21.16087628715883,17.98278097980495,17.28274689855816,25.039005675759498,1.1779710144927538,48.6516309655231,86
stem_length_mm,49.40532934327057,66.56414479112385,35.05024341793848,63.760415268602664,1.4724637681159423,489.31966174139495,86
